kunde_id;geburtsdatum;geschlecht;beruf;anmeldedatum;vorname;nachname;email;telefonnummer
1;1992-03-03;D;Manager;2017-03-16;Norman;Herrmann;norman.herrmann15@gmail.com;01454 53969
2;1976-10-24;W;Arzt;2018-11-09;Anneli;Werner;anneli.werner32@web.de;+49(0)1272051171
3;1961-09-29;D;Lehrer;2018-11-05;Mandy;Reising;mandy.reising14@t-online.de;(08034) 51488
4;2003-04-28;D;Ingenieur;2017-10-18;Ian;Drewes;ian.drewes55@gmail.com;+49(0) 742000902
5;1957-05-29;M;Student;2023-12-03;Hans-Dietrich;Killer;hans-dietrich.killer28@web.de;(07503) 91058
6;1945-10-20;D;Kaufmann;2018-08-07;Agnes;Ullmann;agnes.ullmann4@t-online.de;(04159) 84698
7;1950-08-11;D;Buchhalter;2021-09-22;Nick;Hörle;nick.hörle84@t-online.de;0289082853
8;1951-12-25;M;Programmierer;2020-07-23;Lorenzo;Langern;lorenzo.langern58@t-online.de;+49(0)7607 86758
9;2007-09-01;M;Manager;2020-08-17;Andrei;Nohlmans;andrei.nohlmans98@web.de;0666677920
10;1993-01-07;W;Arzt;2023-08-05;Agata;Hein;agata.hein44@gmx.de;(08234) 640769
11;1985-07-24;M;Lehrer;2023-12-26;Milan;Kramer;milan.kramer98@gmx.de;+49(0) 762257483
12;1948-05-25;M;Pfleger;2016-03-13;Augustin;Ortmann;augustin.ortmann49@gmail.com;+49(0)4401 57820
13;1946-11-11;W;Verkäufer;2023-08-17;Liliana;Gutknecht;liliana.gutknecht78@gmx.de;00694 41408
14;1964-11-07;M;Student;2021-11-17;Bert;Lehmann;bert.lehmann94@outlook.de;02229 705924
15;1948-09-09;M;Student;2015-10-29;Nurettin;Winkler;nurettin.winkler49@gmail.com;(02369) 963862
16;2003-09-11;W;Jurist;2020-01-05;Ute;Bien;ute.bien81@t-online.de;01266 13170
17;1985-02-22;W;Manager;2022-01-24;Ingeborg;Geisel;ingeborg.geisel74@web.de;(09040) 80285
18;2004-02-06;M;Verkäufer;2017-07-28;Ignaz;Hendriks;ignaz.hendriks6@web.de;+49(0)8749 05029
19;1975-02-15;W;Elektriker;2019-09-28;Olena;Etzler;olena.etzler11@web.de;03874 763687
20;1951-12-01;M;Architekt;2020-01-11;Conrad;Hauffer;conrad.hauffer49@gmx.de;06463917692
21;1953-01-08;D;Pfleger;2015-07-31;Adelheid;Wagner;adelheid.wagner47@web.de;+49(0) 232154392
22;1955-03-05;W;Manager;2021-06-26;Hannah;Riehl;hannah.riehl27@gmx.de;+49 (0) 8705 064772
23;1989-01-17;D;Rentner;2016-02-22;Leonhard;Trubin;leonhard.trubin83@gmail.com;03433253539
24;1948-08-12;D;Manager;2020-04-04;Janusz;Oderwald;janusz.oderwald22@t-online.de;02163520000
25;1958-11-28;M;Buchhalter;2015-10-03;Dietrich;Karge;dietrich.karge21@outlook.de;+49(0)9264615532
26;1996-04-02;W;Kaufmann;2015-01-03;Katy;Etzler;katy.etzler82@t-online.de;+49 (0) 5948 197961
27;1975-05-05;D;Kaufmann;2015-10-12;Hedi;Stahr;hedi.stahr42@gmail.com;+49(0)7887 08768
28;1969-01-15;M;Programmierer;2021-04-15;Nikola;Heintze;nikola.heintze41@outlook.de;(03008) 527253
29;1984-09-03;M;Jurist;2016-02-06;Gregor;Textor;gregor.textor28@t-online.de;(09975) 64787
30;1985-09-15;D;Fahrer;2018-04-18;Edeltraud;Stoll;edeltraud.stoll41@web.de;(05483) 444412
31;2000-03-04;W;Arzt;2015-08-09;Ricarda;Flantz;ricarda.flantz51@outlook.de;09423995787
32;1966-06-27;W;Manager;2016-12-30;Valeria;Schäfer;valeria.schäfer18@web.de;05368 26725
33;1988-11-11;D;Manager;2020-09-20;Klaudia;Lorch;klaudia.lorch69@gmx.de;(06945) 682623
34;1960-02-15;D;Buchhalter;2017-10-23;Gunda;Metz;gunda.metz55@t-online.de;(09979) 99457
35;1992-04-08;W;Student;2021-02-12;Susanne;Bachmann;susanne.bachmann29@web.de;+49(0) 986855977
36;1992-07-11;W;Elektriker;2020-03-26;Jadwiga;Fritsch;jadwiga.fritsch12@gmail.com;02954116970
37;1948-02-25;M;Verkäufer;2015-11-05;Thies;Zorbach;thies.zorbach20@web.de;+49 (0) 7032 170155
38;1998-06-03;D;Lehrer;2015-10-17;Marlies;Mude;marlies.mude55@t-online.de;09575 088590
39;1991-04-09;W;Architekt;2018-04-19;Carina;Austermühle;carina.austermühle49@t-online.de;+49(0) 502803523
40;1947-10-03;D;Elektriker;2019-04-01;Meik;Naser;meik.naser33@t-online.de;0048925027
41;1994-09-20;M;Fahrer;2021-10-19;Alexej;Klemm;alexej.klemm88@gmail.com;+49(0) 545878860
